_c0,signal_std,signal_rad,pluie,baseline_std,baseline_rad,pluvio_db_std,pluvio_db_rad
2023-02-14 05:21:00,-17.17,-25.88,0.0,-17.17,-25.88,0.0,0.0
2023-02-14 05:22:00,-17.21,-25.87,0.0,-17.21,-25.87,0.0,0.0
2023-02-14 05:23:00,-17.22,-25.86,0.0,-17.22,-25.86,0.0,0.0
2023-02-14 05:24:00,-17.18,-25.87,0.0,-17.18,-25.87,0.0,0.0
2023-02-14 05:25:00,-17.2,-25.87,0.0,-17.2,-25.87,0.0,0.0
2023-02-14 05:26:00,-17.17,-25.87,0.0,-17.17,-25.87,0.0,0.0
2023-02-14 05:27:00,-17.21,-25.85,0.0,-17.21,-25.85,0.0,0.0
2023-02-14 05:28:00,-17.23,-25.86,0.0,-17.23,-25.86,0.0,0.0
2023-02-14 05:29:00,-17.2,-25.86,0.0,-17.2,-25.86,0.0,0.0
