_c0,signal_std,signal_rad,pluie,baseline_std,baseline_rad,pluvio_db_std,pluvio_db_rad
2023-02-15 06:21:00,-17.19,-25.88,0.0,-17.19,-25.88,0.0,0.0
2023-02-15 06:22:00,-17.17,-25.9,0.0,-17.17,-25.9,0.0,0.0
2023-02-15 06:23:00,-17.12,-25.88,0.0,-17.12,-25.88,0.0,0.0
2023-02-15 06:24:00,-17.19,-25.88,0.0,-17.19,-25.88,0.0,0.0
2023-02-15 06:25:00,-17.15,-25.88,0.0,-17.15,-25.88,0.0,0.0
2023-02-15 06:26:00,-17.11,-25.88,0.0,-17.11,-25.88,0.0,0.0
2023-02-15 06:27:00,-17.16,-25.87,0.0,-17.16,-25.87,0.0,0.0
2023-02-15 06:28:00,-17.12,-25.89,0.0,-17.12,-25.89,0.0,0.0
2023-02-15 06:29:00,-17.2,-25.87,0.0,-17.2,-25.87,0.0,0.0
