_c0,signal_std,signal_rad,pluie,baseline_std,baseline_rad,pluvio_db_std,pluvio_db_rad
2023-02-17 12:56:00,-17.58,-26.62,0.0,-17.58,-26.62,0.0,0.0
2023-02-17 12:57:00,-17.63,-26.69,0.0,-17.63,-26.69,0.0,0.0
2023-02-17 12:58:00,-17.47,-26.57,0.0,-17.47,-26.57,0.0,0.0
2023-02-17 12:59:00,-17.44,-26.62,0.0,-17.44,-26.62,0.0,0.0
2023-02-17 13:00:00,-17.62,-26.61,0.0,-17.62,-26.61,0.0,0.0
2023-02-17 13:01:00,-17.45,-26.58,0.0,-17.45,-26.58,0.0,0.0
2023-02-17 13:02:00,-17.37,-26.68,0.0,-17.37,-26.68,0.0,0.0
2023-02-17 13:03:00,-17.5,-26.59,0.0,-17.5,-26.59,0.0,0.0
2023-02-17 13:04:00,-17.46,-26.53,0.0,-17.46,-26.53,0.0,0.0
