_c0,signal_std,signal_rad,pluie,baseline_std,baseline_rad,pluvio_db_std,pluvio_db_rad
2023-02-27 14:36:00,-17.54,-26.52,0.0,-17.54,-26.52,0.0,0.0
2023-02-27 14:37:00,-17.42,-26.54,0.0,-17.42,-26.54,0.0,0.0
2023-02-27 14:38:00,-17.55,-26.5,0.0,-17.55,-26.5,0.0,0.0
2023-02-27 14:39:00,-17.32,-26.54,0.0,-17.32,-26.54,0.0,0.0
2023-02-27 14:40:00,-17.41,-26.51,0.0,-17.41,-26.51,0.0,0.0
2023-02-27 14:41:00,-17.57,-26.54,0.0,-17.57,-26.54,0.0,0.0
2023-02-27 14:42:00,-17.48,-26.53,0.0,-17.48,-26.53,0.0,0.0
2023-02-27 14:43:00,-17.43,-26.5,0.0,-17.43,-26.5,0.0,0.0
2023-02-27 14:44:00,-17.48,-26.51,0.0,-17.48,-26.51,0.0,0.0
