_c0,signal_std,signal_rad,pluie,baseline_std,baseline_rad,pluvio_db_std,pluvio_db_rad
2023-02-01 13:20:00,-17.59,-26.6,0.0,-17.59,-26.6,0.0,0.0
2023-02-01 13:21:00,-17.48,-26.61,0.0,-17.48,-26.61,0.0,0.0
2023-02-01 13:22:00,-17.53,-26.66,0.0,-17.53,-26.66,0.0,0.0
2023-02-01 13:23:00,-17.45,-26.64,0.0,-17.45,-26.64,0.0,0.0
2023-02-01 13:24:00,-17.48,-26.59,0.0,-17.48,-26.59,0.0,0.0
2023-02-01 13:25:00,-17.44,-26.6,0.0,-17.44,-26.6,0.0,0.0
2023-02-01 13:26:00,-17.49,-26.6,0.0,-17.49,-26.6,0.0,0.0
2023-02-01 13:27:00,-17.6,-26.6,0.0,-17.6,-26.6,0.0,0.0
