_c0,signal_std,signal_rad,pluie,baseline_std,baseline_rad,pluvio_db_std,pluvio_db_rad
2023-02-23 13:48:00,-17.52,-26.54,0.0,-17.52,-26.54,0.0,0.0
2023-02-23 13:49:00,-17.47,-26.56,0.0,-17.47,-26.56,0.0,0.0
2023-02-23 13:50:00,-17.45,-26.58,0.0,-17.45,-26.58,0.0,0.0
2023-02-23 13:51:00,-17.45,-26.57,0.0,-17.45,-26.57,0.0,0.0
2023-02-23 13:52:00,-17.55,-26.56,0.0,-17.55,-26.56,0.0,0.0
2023-02-23 13:53:00,-17.56,-26.56,0.0,-17.56,-26.56,0.0,0.0
2023-02-23 13:54:00,-17.46,-26.57,0.0,-17.46,-26.57,0.0,0.0
2023-02-23 13:55:00,-17.47,-26.52,0.0,-17.47,-26.52,0.0,0.0
