_c0,signal_std,signal_rad,pluie,baseline_std,baseline_rad,pluvio_db_std,pluvio_db_rad
2023-02-02 11:25:00,-17.5,-26.44,0.0,-17.5,-26.44,0.0,0.0
2023-02-02 11:26:00,-16.95,-26.43,0.0,-16.95,-26.43,0.0,0.0
2023-02-02 11:27:00,-17.32,-26.45,0.0,-17.32,-26.45,0.0,0.0
2023-02-02 11:28:00,-17.41,-26.42,0.0,-17.41,-26.42,0.0,0.0
2023-02-02 11:29:00,-17.58,-26.44,0.0,-17.58,-26.44,0.0,0.0
2023-02-02 11:30:00,-17.52,-26.43,0.0,-17.52,-26.43,0.0,0.0
2023-02-02 11:31:00,-17.5,-26.45,0.0,-17.5,-26.45,0.0,0.0
2023-02-02 11:32:00,-17.59,-26.49,0.0,-17.59,-26.49,0.0,0.0
