_c0,signal_std,signal_rad,pluie,baseline_std,baseline_rad,pluvio_db_std,pluvio_db_rad
2023-02-01 15:25:00,-17.39,-26.56,0.0,-17.39,-26.56,0.0,0.0
2023-02-01 15:26:00,-17.43,-26.55,0.0,-17.43,-26.55,0.0,0.0
2023-02-01 15:27:00,-17.42,-26.55,0.0,-17.42,-26.55,0.0,0.0
2023-02-01 15:28:00,-17.44,-26.54,0.0,-17.44,-26.54,0.0,0.0
2023-02-01 15:29:00,-17.5,-26.56,0.0,-17.5,-26.56,0.0,0.0
2023-02-01 15:30:00,-17.52,-26.53,0.0,-17.52,-26.53,0.0,0.0
2023-02-01 15:31:00,-17.43,-26.52,0.0,-17.43,-26.52,0.0,0.0
2023-02-01 15:32:00,-17.51,-26.52,0.0,-17.51,-26.52,0.0,0.0
