_c0,signal_std,signal_rad,pluie,baseline_std,baseline_rad,pluvio_db_std,pluvio_db_rad
2023-02-21 07:55:00,-17.37,-26.11,0.0,-17.37,-26.11,0.0,0.0
2023-02-21 07:56:00,-17.39,-26.12,0.0,-17.39,-26.12,0.0,0.0
2023-02-21 07:57:00,-17.34,-26.11,0.0,-17.34,-26.11,0.0,0.0
2023-02-21 07:58:00,-17.37,-26.13,0.0,-17.37,-26.13,0.0,0.0
2023-02-21 07:59:00,-17.36,-26.1,0.0,-17.36,-26.1,0.0,0.0
2023-02-21 08:00:00,-17.34,-26.12,0.0,-17.34,-26.12,0.0,0.0
2023-02-21 08:01:00,-17.4,-26.1,0.0,-17.4,-26.1,0.0,0.0
2023-02-21 08:02:00,-17.35,-26.11,0.0,-17.35,-26.11,0.0,0.0
