_c0,signal_std,signal_rad,pluie,baseline_std,baseline_rad,pluvio_db_std,pluvio_db_rad
2023-02-13 12:16:00,-17.62,-26.53,0.0,-17.62,-26.53,0.0,0.0
2023-02-13 12:17:00,-17.64,-26.54,0.0,-17.64,-26.54,0.0,0.0
2023-02-13 12:18:00,-17.63,-26.52,0.0,-17.63,-26.52,0.0,0.0
2023-02-13 12:19:00,-17.61,-26.48,0.0,-17.61,-26.48,0.0,0.0
2023-02-13 12:20:00,-17.59,-26.56,0.0,-17.59,-26.56,0.0,0.0
2023-02-13 12:21:00,-17.61,-26.54,0.0,-17.61,-26.54,0.0,0.0
2023-02-13 12:22:00,-17.54,-26.54,0.0,-17.54,-26.54,0.0,0.0
2023-02-13 12:23:00,-17.5,-26.56,0.0,-17.5,-26.56,0.0,0.0
2023-02-13 12:24:00,-17.67,-26.57,0.0,-17.67,-26.57,0.0,0.0
