_c0,signal_std,signal_rad,pluie,baseline_std,baseline_rad,pluvio_db_std,pluvio_db_rad
2023-02-16 09:10:00,-17.46,-26.3,0.0,-17.46,-26.3,0.0,0.0
2023-02-16 09:11:00,-17.48,-26.27,0.0,-17.48,-26.27,0.0,0.0
2023-02-16 09:12:00,-17.47,-26.26,0.0,-17.47,-26.26,0.0,0.0
2023-02-16 09:13:00,-17.48,-26.27,0.0,-17.48,-26.27,0.0,0.0
2023-02-16 09:14:00,-17.57,-26.28,0.0,-17.57,-26.28,0.0,0.0
2023-02-16 09:15:00,-17.51,-26.28,0.0,-17.51,-26.28,0.0,0.0
2023-02-16 09:16:00,-17.53,-26.28,0.0,-17.53,-26.28,0.0,0.0
2023-02-16 09:17:00,-17.46,-26.27,0.0,-17.46,-26.27,0.0,0.0
