_c0,signal_std,signal_rad,pluie,baseline_std,baseline_rad,pluvio_db_std,pluvio_db_rad
2023-02-17 03:46:00,-17.02,-25.95,0.0,-17.02,-25.95,0.0,0.0
2023-02-17 03:47:00,-17.02,-25.95,0.0,-17.02,-25.95,0.0,0.0
2023-02-17 03:48:00,-17.05,-25.94,0.0,-17.05,-25.94,0.0,0.0
2023-02-17 03:49:00,-17.11,-25.97,0.0,-17.11,-25.97,0.0,0.0
2023-02-17 03:50:00,-17.08,-25.95,0.0,-17.08,-25.95,0.0,0.0
2023-02-17 03:51:00,-17.02,-25.95,0.0,-17.02,-25.95,0.0,0.0
2023-02-17 03:52:00,-17.09,-25.95,0.0,-17.09,-25.95,0.0,0.0
2023-02-17 03:53:00,-17.05,-25.94,0.0,-17.05,-25.94,0.0,0.0
2023-02-17 03:54:00,-16.99,-25.95,0.0,-16.99,-25.95,0.0,0.0
