_c0,signal_std,signal_rad,pluie,baseline_std,baseline_rad,pluvio_db_std,pluvio_db_rad
2023-02-01 20:00:00,-17.06,-26.13,0.0,-17.06,-26.13,0.0,0.0
2023-02-01 20:01:00,-17.09,-26.13,0.0,-17.09,-26.13,0.0,0.0
2023-02-01 20:02:00,-17.08,-26.14,0.0,-17.08,-26.14,0.0,0.0
2023-02-01 20:03:00,-17.03,-26.13,0.0,-17.03,-26.13,0.0,0.0
2023-02-01 20:04:00,-17.07,-26.14,0.0,-17.07,-26.14,0.0,0.0
2023-02-01 20:05:00,-17.09,-26.15,0.0,-17.09,-26.15,0.0,0.0
2023-02-01 20:06:00,-17.09,-26.13,0.0,-17.09,-26.13,0.0,0.0
2023-02-01 20:07:00,-17.08,-26.14,0.0,-17.08,-26.14,0.0,0.0
