_c0,signal_std,signal_rad,pluie,baseline_std,baseline_rad,pluvio_db_std,pluvio_db_rad
2023-02-21 21:40:00,-17.27,-26.09,0.0,-17.27,-26.09,0.0,0.0
2023-02-21 21:41:00,-17.23,-26.08,0.0,-17.23,-26.08,0.0,0.0
2023-02-21 21:42:00,-17.17,-26.09,0.0,-17.17,-26.09,0.0,0.0
2023-02-21 21:43:00,-17.2,-26.11,0.0,-17.2,-26.11,0.0,0.0
2023-02-21 21:44:00,-17.31,-26.08,0.0,-17.31,-26.08,0.0,0.0
2023-02-21 21:45:00,-17.21,-26.08,0.0,-17.21,-26.08,0.0,0.0
2023-02-21 21:46:00,-17.22,-26.09,0.0,-17.22,-26.09,0.0,0.0
2023-02-21 21:47:00,-17.31,-26.09,0.0,-17.31,-26.09,0.0,0.0
