_c0,signal_std_final,signal_rad_final,pluie
2022-07-08T02:52:00.000+02:00,-23.186861,-30.216335,0
2022-07-08T02:53:00.000+02:00,-23.18615,-30.2174,0
2022-07-08T02:54:00.000+02:00,-23.194674,-30.218466,0
2022-07-08T02:55:00.000+02:00,-23.192543,-30.219887,0
2022-07-08T02:56:00.000+02:00,-23.193962,-30.219532,0
2022-07-08T02:57:00.000+02:00,-23.192188,-30.217045,0
2022-07-08T02:58:00.000+02:00,-23.191122,-30.21385,0
2022-07-08T02:59:00.000+02:00,-23.20284,-30.211008,0
2022-07-08T03:00:00.000+02:00,-23.194674,-30.209587,0
2022-07-08T03:01:00.000+02:00,-23.188992,-30.207813,0
2022-07-08T03:02:00.000+02:00,-23.188637,-30.211365,0
2022-07-08T03:03:00.000+02:00,-23.19929,-30.214914,0
2022-07-08T03:04:00.000+02:00,-23.192898,-30.211363,0
2022-07-08T03:05:00.000+02:00,-23.193962,-30.211008,0
2022-07-08T03:06:00.000+02:00,-23.201775,-30.207458,0
2022-07-08T03:07:00.000+02:00,-23.198935,-30.212074,0
2022-07-08T03:08:00.000+02:00,-23.202486,-30.21456,0
2022-07-08T03:09:00.000+02:00,-23.204262,-30.222372,0
2022-07-08T03:10:00.000+02:00,-23.203196,-30.220242,0
2022-07-08T03:11:00.000+02:00,-23.20284,-30.222372,0
2022-07-08T03:12:00.000+02:00,-23.205326,-30.223438,0
2022-07-08T03:13:00.000+02:00,-23.199644,-30.219532,0
2022-07-08T03:14:00.000+02:00,-23.201065,-30.21456,0
2022-07-08T03:15:00.000+02:00,-23.203907,-30.220596,0
2022-07-08T03:16:00.000+02:00,-23.19929,-30.223083,0
2022-07-08T03:17:00.000+02:00,-23.194674,-30.21669,0
2022-07-08T03:18:00.000+02:00,-23.20142,-30.218111,0
2022-07-08T03:19:00.000+02:00,-23.20568,-30.220951,0
2022-07-08T03:20:00.000+02:00,-23.20284,-30.225212,0
2022-07-08T03:21:00.000+02:00,-23.196804,-30.215271,0
2022-07-08T03:22:00.000+02:00,-23.20071,-30.214205,0
2022-07-08T03:23:00.000+02:00,-23.197159,-30.209587,0
2022-07-08T03:24:00.000+02:00,-23.200356,-30.206038,0
2022-07-08T03:25:00.000+02:00,-23.2,-30.192898,0
2022-07-08T03:26:00.000+02:00,-23.204262,-30.202486,0
2022-07-08T03:27:00.000+02:00,-23.198935,-30.207458,0
2022-07-08T03:28:00.000+02:00,-23.201065,-30.206747,0
2022-07-08T03:29:00.000+02:00,-23.19858,-30.210299,0
2022-07-08T03:30:00.000+02:00,-23.197514,-30.204617,0
2022-07-08T03:31:00.000+02:00,-23.19929,-30.206747,0
2022-07-08T03:32:00.000+02:00,-23.207102,-30.206038,0
2022-07-08T03:33:00.000+02:00,-23.198935,-30.207813,0
2022-07-08T03:34:00.000+02:00,-23.202486,-30.208878,0
2022-07-08T03:35:00.000+02:00,-23.204262,-30.209589,0
2022-07-08T03:36:00.000+02:00,-23.20071,-30.21385,0
2022-07-08T03:37:00.000+02:00,-23.197514,-30.20284,0
2022-07-08T03:38:00.000+02:00,-23.193962,-30.206392,0
2022-07-08T03:39:00.000+02:00,-23.21243,-30.205326,0
2022-07-08T03:40:00.000+02:00,-23.215271,-30.202486,0
2022-07-08T03:41:00.000+02:00,-23.206392,-30.201777,0
2022-07-08T03:42:00.000+02:00,-23.202131,-30.208523,0
