_c0,signal_std,signal_rad,pluie
2022-12-07T21:23:00.000+01:00,-20.014631,-31.186506,0
2022-12-07T21:24:00.000+01:00,-20.057953,-31.177273,0
2022-12-07T21:25:00.000+01:00,-20.04659,-31.178694,0
2022-12-07T21:26:00.000+01:00,-20.003977,-31.183666,0
2022-12-07T21:27:00.000+01:00,-20.094887,-31.178692,0
2022-12-07T21:28:00.000+01:00,-20.079971,-31.182243,0
2022-12-07T21:29:00.000+01:00,-19.98693,-31.16946,0
2022-12-07T21:30:00.000+01:00,-20.048721,-31.16733,0
2022-12-07T21:31:00.000+01:00,-20.069317,-31.166618,0
2022-12-07T21:32:00.000+01:00,-20.028126,-31.173012,0
2022-12-07T21:33:00.000+01:00,-20.052982,-31.155966,0
2022-12-07T21:34:00.000+01:00,-20.066479,-31.154545,0
2022-12-07T21:35:00.000+01:00,-20.10625,-31.1652,0
2022-12-07T21:36:00.000+01:00,-20.056534,-31.158096,0
2022-12-07T21:37:00.000+01:00,-20.030254,-31.158806,0
2022-12-07T21:38:00.000+01:00,-19.984802,-31.154545,0
2022-12-07T21:39:00.000+01:00,-20.0402,-31.161648,0
2022-12-07T21:40:00.000+01:00,-20.017471,-31.156677,0
2022-12-07T21:41:00.000+01:00,-20.068607,-31.152414,0
2022-12-07T21:42:00.000+01:00,-20.065056,-31.150993,0
2022-12-07T21:43:00.000+01:00,-20.058666,-31.155256,0
2022-12-07T21:44:00.000+01:00,-20.065767,-31.155966,0
2022-12-07T21:45:00.000+01:00,-19.996164,-31.154545,0
2022-12-07T21:46:00.000+01:00,-20.037357,-31.158096,0
2022-12-07T21:47:00.000+01:00,-20.036648,-31.156677,0
2022-12-07T21:48:00.000+01:00,-20.035229,-31.155966,0
2022-12-07T21:49:00.000+01:00,-19.991903,-31.146732,0
2022-12-07T21:50:00.000+01:00,-20.079971,-31.153835,0
2022-12-07T21:51:00.000+01:00,-20.065767,-31.150284,0
2022-12-07T21:52:00.000+01:00,-20.019604,-31.148865,0
2022-12-07T21:53:00.000+01:00,-19.941477,-31.156677,0
2022-12-07T21:54:00.000+01:00,-20.036648,-31.160227,0
2022-12-07T21:55:00.000+01:00,-20.025284,-31.148155,0
2022-12-07T21:56:00.000+01:00,-20.030254,-31.152414,0
2022-12-07T21:57:00.000+01:00,-19.987642,-31.148155,0
