_c0,signal_std,signal_rad,pluie,baseline_std,baseline_rad,pluvio_db_std,pluvio_db_rad
2023-02-04 13:33:00,-17.46,-26.57,0.0,-17.46,-26.57,0.0,0.0
2023-02-04 13:34:00,-17.4,-26.61,0.0,-17.4,-26.61,0.0,0.0
2023-02-04 13:35:00,-17.55,-26.6,0.0,-17.55,-26.6,0.0,0.0
2023-02-04 13:36:00,-17.49,-26.62,0.0,-17.49,-26.62,0.0,0.0
2023-02-04 13:37:00,-17.47,-26.59,0.0,-17.47,-26.59,0.0,0.0
2023-02-04 13:38:00,-17.47,-26.57,0.0,-17.47,-26.57,0.0,0.0
2023-02-04 13:39:00,-17.59,-26.62,0.0,-17.59,-26.62,0.0,0.0
2023-02-04 13:40:00,-17.37,-26.62,0.0,-17.37,-26.62,0.0,0.0
