_c0,signal_std,signal_rad,pluie,baseline_std,baseline_rad,pluvio_db_std,pluvio_db_rad
2023-02-01 17:21:00,-17.36,-26.38,0.0,-17.36,-26.38,0.0,0.0
2023-02-01 17:22:00,-17.27,-26.37,0.0,-17.27,-26.37,0.0,0.0
2023-02-01 17:23:00,-17.18,-26.38,0.0,-17.18,-26.38,0.0,0.0
2023-02-01 17:24:00,-17.25,-26.36,0.0,-17.25,-26.36,0.0,0.0
2023-02-01 17:25:00,-17.29,-26.36,0.0,-17.29,-26.36,0.0,0.0
2023-02-01 17:26:00,-17.2,-26.37,0.0,-17.2,-26.37,0.0,0.0
2023-02-01 17:27:00,-17.23,-26.33,0.0,-17.23,-26.33,0.0,0.0
2023-02-01 17:28:00,-17.26,-26.35,0.0,-17.26,-26.35,0.0,0.0
2023-02-01 17:29:00,-17.29,-26.36,0.0,-17.29,-26.36,0.0,0.0
