_c0,signal_std,signal_rad,pluie,baseline_std,baseline_rad,pluvio_db_std,pluvio_db_rad
2023-02-01 16:56:00,-17.33,-26.41,0.0,-17.33,-26.41,0.0,0.0
2023-02-01 16:57:00,-17.31,-26.4,0.0,-17.31,-26.4,0.0,0.0
2023-02-01 16:58:00,-17.35,-26.43,0.0,-17.35,-26.43,0.0,0.0
2023-02-01 16:59:00,-17.37,-26.42,0.0,-17.37,-26.42,0.0,0.0
2023-02-01 17:00:00,-17.35,-26.39,0.0,-17.35,-26.39,0.0,0.0
2023-02-01 17:01:00,-17.33,-26.4,0.0,-17.33,-26.4,0.0,0.0
2023-02-01 17:02:00,-17.37,-26.42,0.0,-17.37,-26.42,0.0,0.0
2023-02-01 17:03:00,-17.21,-26.41,0.0,-17.21,-26.41,0.0,0.0
2023-02-01 17:04:00,-17.31,-26.43,0.0,-17.31,-26.43,0.0,0.0
