_c0,signal_std,signal_rad,pluie,baseline_std,baseline_rad,pluvio_db_std,pluvio_db_rad
2023-02-16 13:45:00,-17.45,-26.53,0.0,-17.45,-26.53,0.0,0.0
2023-02-16 13:46:00,-17.47,-26.52,0.0,-17.47,-26.52,0.0,0.0
2023-02-16 13:47:00,-17.34,-26.54,0.0,-17.34,-26.54,0.0,0.0
2023-02-16 13:48:00,-17.46,-26.57,0.0,-17.46,-26.57,0.0,0.0
2023-02-16 13:49:00,-17.61,-26.55,0.0,-17.61,-26.55,0.0,0.0
2023-02-16 13:50:00,-17.61,-26.55,0.0,-17.61,-26.55,0.0,0.0
2023-02-16 13:51:00,-17.36,-26.52,0.0,-17.36,-26.52,0.0,0.0
2023-02-16 13:52:00,-17.59,-26.56,0.0,-17.59,-26.56,0.0,0.0
