_c0,signal_std,signal_rad,pluie,baseline_std,baseline_rad,pluvio_db_std,pluvio_db_rad
2023-02-15 02:20:00,-17.02,-26.03,0.0,-17.02,-26.03,0.0,0.0
2023-02-15 02:21:00,-17.0,-26.02,0.0,-17.0,-26.02,0.0,0.0
2023-02-15 02:22:00,-17.06,-26.03,0.0,-17.06,-26.03,0.0,0.0
2023-02-15 02:23:00,-17.01,-26.04,0.0,-17.01,-26.04,0.0,0.0
2023-02-15 02:24:00,-17.0,-26.01,0.0,-17.0,-26.01,0.0,0.0
2023-02-15 02:25:00,-17.06,-26.02,0.0,-17.06,-26.02,0.0,0.0
2023-02-15 02:26:00,-17.0,-26.02,0.0,-17.0,-26.02,0.0,0.0
2023-02-15 02:27:00,-17.05,-26.02,0.0,-17.05,-26.02,0.0,0.0
