pluie,mean_std,stddev_std,mean_rad,stddev_rad,window_start,window_end
0,-22.88892,,-29.8424,,2022-09-15T14:25:00.000+02:00,2022-09-15T14:26:00.000+02:00
0,-22.382528,,-29.416264,,2022-10-30T04:13:00.000+01:00,2022-10-30T04:14:00.000+01:00
0,-23.01321,,-29.847017,,2022-09-23T13:05:00.000+02:00,2022-09-23T13:06:00.000+02:00
0,-22.616903,,-29.692188,,2022-06-28T14:19:00.000+02:00,2022-06-28T14:20:00.000+02:00
1,-22.391052,,-29.24368,,2022-08-29T01:51:00.000+02:00,2022-08-29T01:52:00.000+02:00
0,-22.544815,,-29.59098,,2022-10-31T13:34:00.000+01:00,2022-10-31T13:35:00.000+01:00
0,-22.455326,,-29.530966,,2022-07-03T22:49:00.000+02:00,2022-07-03T22:50:00.000+02:00
0,-20.631819,,-29.054049,,2022-12-15T16:48:00.000+01:00,2022-12-15T16:49:00.000+01:00
0,-23.46243,,-30.695028,,2022-11-25T12:37:00.000+01:00,2022-11-25T12:38:00.000+01:00
0,-23.467756,,-30.578197,,2022-11-26T01:36:00.000+01:00,2022-11-26T01:37:00.000+01:00
0,-22.626137,,-29.718466,,2022-07-15T15:02:00.000+02:00,2022-07-15T15:03:00.000+02:00
0,-20.561861,,-29.148153,,2022-12-30T03:13:00.000+01:00,2022-12-30T03:14:00.000+01:00
0,-23.410938,,-30.371876,,2022-10-24T03:56:00.000+02:00,2022-10-24T03:57:00.000+02:00
1,-23.778126,,-30.51534,,2022-10-25T12:59:00.000+02:00,2022-10-25T13:00:00.000+02:00
1,-22.426918,,-29.229118,,2022-05-31T18:42:00.000+02:00,2022-05-31T18:43:00.000+02:00
0,-22.18047,,-29.200356,,2022-08-17T02:54:00.000+02:00,2022-08-17T02:55:00.000+02:00
0,-22.272799,,-29.241549,,2022-08-30T07:17:00.000+02:00,2022-08-30T07:18:00.000+02:00
0,-23.281677,,-30.208878,,2022-10-15T03:45:00.000+02:00,2022-10-15T03:46:00.000+02:00
0,-22.345242,,-29.43118,,2022-10-29T01:43:00.000+02:00,2022-10-29T01:44:00.000+02:00
0,-22.6201,,-29.711008,,2022-06-28T14:27:00.000+02:00,2022-06-28T14:28:00.000+02:00
0,-22.453196,,-29.551918,,2022-07-31T16:07:00.000+02:00,2022-07-31T16:08:00.000+02:00
0,-22.318253,,-29.451775,,2022-08-02T08:46:00.000+02:00,2022-08-02T08:47:00.000+02:00
0,-23.184376,,-30.099857,,2022-12-08T09:40:00.000+01:00,2022-12-08T09:41:00.000+01:00
0,-23.538069,,-30.376846,,2022-10-21T08:07:00.000+02:00,2022-10-21T08:08:00.000+02:00
1,-20.642471,,-28.582813,,2022-12-19T01:07:00.000+01:00,2022-12-19T01:08:00.000+01:00
0,-22.761435,,-29.784517,,2022-06-18T18:29:00.000+02:00,2022-06-18T18:30:00.000+02:00
1,-22.49794,,-28.834587,,2022-06-24T07:31:00.000+02:00,2022-06-24T07:32:00.000+02:00
1,-22.63821,,-28.685085,,2022-09-16T04:48:00.000+02:00,2022-09-16T04:49:00.000+02:00
0,-23.224148,,-30.188282,,2022-10-22T23:16:00.000+02:00,2022-10-22T23:17:00.000+02:00
0,-22.663424,,-30.256107,,2022-11-06T20:16:00.000+01:00,2022-11-06T20:17:00.000+01:00
0,-22.579262,,-29.457458,,2022-09-11T12:25:00.000+02:00,2022-09-11T12:26:00.000+02:00
1,-23.942543,,-27.511435,,2022-11-03T00:20:00.000+01:00,2022-11-03T00:21:00.000+01:00
1,-22.83885,,-29.834587,,2022-07-08T21:23:00.000+02:00,2022-07-08T21:24:00.000+02:00
0,-22.585299,,-29.597017,,2022-09-06T11:24:00.000+02:00,2022-09-06T11:25:00.000+02:00
0,-23.392471,,-30.408451,,2022-10-19T22:46:00.000+02:00,2022-10-19T22:47:00.000+02:00
0,-23.583168,,-30.532742,,2022-10-05T13:09:00.000+02:00,2022-10-05T13:10:00.000+02:00
0,-23.770313,,-30.694319,,2022-08-25T13:41:00.000+02:00,2022-08-25T13:42:00.000+02:00
0,-22.420525,,-29.473438,,2022-05-29T18:52:00.000+02:00,2022-05-29T18:53:00.000+02:00
0,-22.6652,,-29.687572,,2022-11-01T08:00:00.000+01:00,2022-11-01T08:01:00.000+01:00
0,-22.530611,,-28.797657,,2022-06-20T21:58:00.000+02:00,2022-06-20T21:59:00.000+02:00
0,-22.886435,,-29.667685,,2022-10-09T22:44:00.000+02:00,2022-10-09T22:45:00.000+02:00
0,-22.35483,,-29.534517,,2022-10-29T19:59:00.000+02:00,2022-10-29T20:00:00.000+02:00
0,-22.1826,,-29.290554,,2022-08-09T08:38:00.000+02:00,2022-08-09T08:39:00.000+02:00
0,-22.603409,,-30.289845,,2022-11-08T19:44:00.000+01:00,2022-11-08T19:45:00.000+01:00
0,-22.927273,,-30.228409,,2022-11-20T21:17:00.000+01:00,2022-11-20T21:18:00.000+01:00
1,-22.755753,,-28.568962,,2022-05-24T12:34:00.000+02:00,2022-05-24T12:35:00.000+02:00
0,-22.150639,,-29.253977,,2022-08-03T04:43:00.000+02:00,2022-08-03T04:44:00.000+02:00
1,-22.226633,,-28.974148,,2022-07-27T06:34:00.000+02:00,2022-07-27T06:35:00.000+02:00
0,-23.373295,,-30.4049,,2022-12-02T05:42:00.000+01:00,2022-12-02T05:43:00.000+01:00
0,-22.642826,,-29.57429,,2022-09-22T01:58:00.000+02:00,2022-09-22T01:59:00.000+02:00
0,-22.272087,,-29.189346,,2022-05-29T04:10:00.000+02:00,2022-05-29T04:11:00.000+02:00
0,-23.319319,,-30.058664,,2022-09-30T10:16:00.000+02:00,2022-09-30T10:17:00.000+02:00
0,-22.402414,,-29.468111,,2022-05-30T18:41:00.000+02:00,2022-05-30T18:42:00.000+02:00
0,-22.167685,,-29.173012,,2022-05-19T05:10:00.000+02:00,2022-05-19T05:11:00.000+02:00
0,-23.05618,,-30.184021,,2022-11-18T13:30:00.000+01:00,2022-11-18T13:31:00.000+01:00
0,-22.89034,,-29.893538,,2022-10-09T19:15:00.000+02:00,2022-10-09T19:16:00.000+02:00
