pluie,mean_std,stddev_std,mean_rad,stddev_rad,window_start,window_end
0,-22.603054,,-29.767117,,2022-07-09T18:27:00.000+02:00,2022-07-09T18:28:00.000+02:00
0,-23.834587,,-30.777414,,2022-10-07T13:12:00.000+02:00,2022-10-07T13:13:00.000+02:00
0,-22.402414,,-29.46527,,2022-09-09T16:10:00.000+02:00,2022-09-09T16:11:00.000+02:00
0,-22.41449,,-29.282387,,2022-06-17T02:01:00.000+02:00,2022-06-17T02:02:00.000+02:00
0,-22.26321,,-29.159517,,2022-05-23T03:38:00.000+02:00,2022-05-23T03:39:00.000+02:00
0,-23.410583,,-30.38608,,2022-10-25T03:28:00.000+02:00,2022-10-25T03:29:00.000+02:00
0,-22.62294,,-29.613352,,2022-09-24T17:58:00.000+02:00,2022-09-24T17:59:00.000+02:00
0,-22.256107,,-29.38892,,2022-11-01T20:54:00.000+01:00,2022-11-01T20:55:00.000+01:00
0,-23.21172,,-30.719532,,2022-11-30T19:09:00.000+01:00,2022-11-30T19:10:00.000+01:00
0,-22.232315,,-29.40206,,2022-09-04T18:28:00.000+02:00,2022-09-04T18:29:00.000+02:00
0,-22.862642,,-29.723438,,2022-10-10T01:21:00.000+02:00,2022-10-10T01:22:00.000+02:00
0,-23.750427,,-30.73125,,2022-10-07T13:43:00.000+02:00,2022-10-07T13:44:00.000+02:00
0,-22.298721,,-29.219532,,2022-05-27T02:27:00.000+02:00,2022-05-27T02:28:00.000+02:00
0,-23.345951,,-30.300142,,2022-10-19T04:29:00.000+02:00,2022-10-19T04:30:00.000+02:00
0,-22.081038,,-29.2625,,2022-07-22T22:11:00.000+02:00,2022-07-22T22:12:00.000+02:00
0,-22.05973,,-29.176563,,2022-07-24T03:21:00.000+02:00,2022-07-24T03:22:00.000+02:00
0,-22.340626,,-29.407387,,2022-05-17T18:28:00.000+02:00,2022-05-17T18:29:00.000+02:00
0,-23.067543,,-29.900639,,2022-09-18T10:05:00.000+02:00,2022-09-18T10:06:00.000+02:00
0,-22.6027,,-29.663067,,2022-09-23T19:31:00.000+02:00,2022-09-23T19:32:00.000+02:00
0,-20.488352,,-28.937216,,2022-12-28T18:36:00.000+01:00,2022-12-28T18:37:00.000+01:00
0,-22.33743,,-29.442188,,2022-12-09T19:03:00.000+01:00,2022-12-09T19:04:00.000+01:00
0,-21.999716,,-29.08743,,2022-08-19T04:56:00.000+02:00,2022-08-19T04:57:00.000+02:00
0,-23.050854,,-30.019247,,2022-10-11T21:03:00.000+02:00,2022-10-11T21:04:00.000+02:00
0,-22.982315,,-29.90348,,2022-11-18T08:23:00.000+01:00,2022-11-18T08:24:00.000+01:00
0,-22.242258,,-29.075,,2022-09-10T23:11:00.000+02:00,2022-09-10T23:12:00.000+02:00
0,-22.989063,,-29.846306,,2022-09-29T04:57:00.000+02:00,2022-09-29T04:58:00.000+02:00
0,-22.668041,,-29.470951,,2022-09-13T11:20:00.000+02:00,2022-09-13T11:21:00.000+02:00
0,-22.335653,,-29.449291,,2022-12-09T18:52:00.000+01:00,2022-12-09T18:53:00.000+01:00
0,-22.144247,,-29.400639,,2022-08-09T17:38:00.000+02:00,2022-08-09T17:39:00.000+02:00
0,-22.534872,,-29.403126,,2022-06-24T22:39:00.000+02:00,2022-06-24T22:40:00.000+02:00
