pluie,mean_std,stddev_std,mean_rad,stddev_rad,window_start,window_end
0,-22.519958,,-29.725214,,2022-07-04T14:55:00.000+02:00,2022-07-04T14:56:00.000+02:00
0,-21.11193,,-29.28949,,2022-12-19T09:00:00.000+01:00,2022-12-19T09:01:00.000+01:00
0,-22.57642,,-29.693962,,2022-08-22T14:32:00.000+02:00,2022-08-22T14:33:00.000+02:00
0,-23.913069,,-30.969887,,2022-10-24T13:47:00.000+02:00,2022-10-24T13:48:00.000+02:00
0,-22.794815,,-28.926208,,2022-09-16T19:41:00.000+02:00,2022-09-16T19:42:00.000+02:00
0,-22.080683,,-29.158096,,2022-08-19T03:56:00.000+02:00,2022-08-19T03:57:00.000+02:00
0,-22.323935,,-29.219887,,2022-09-10T07:23:00.000+02:00,2022-09-10T07:24:00.000+02:00
0,-22.188637,,-29.406677,,2022-08-16T19:56:00.000+02:00,2022-08-16T19:57:00.000+02:00
0,-22.428337,,-29.441122,,2022-08-22T07:09:00.000+02:00,2022-08-22T07:10:00.000+02:00
0,-22.457458,,-29.471306,,2022-09-14T17:53:00.000+02:00,2022-09-14T17:54:00.000+02:00
0,-22.719887,,-29.54446,,2022-12-08T04:57:00.000+01:00,2022-12-08T04:58:00.000+01:00
0,-22.44645,,-29.568607,,2022-11-03T21:00:00.000+01:00,2022-11-03T21:01:00.000+01:00
0,,,,,2022-05-26T23:10:00.000+02:00,2022-05-26T23:11:00.000+02:00
0,-22.124716,,-29.356606,,2022-08-08T20:00:00.000+02:00,2022-08-08T20:01:00.000+02:00
0,-22.497585,,-29.724148,,2022-07-11T11:08:00.000+02:00,2022-07-11T11:09:00.000+02:00
0,-22.269247,,-29.174786,,2022-05-23T03:17:00.000+02:00,2022-05-23T03:18:00.000+02:00
0,-21.111221,,-29.279545,,2022-12-17T12:20:00.000+01:00,2022-12-17T12:21:00.000+01:00
0,-23.303692,,-30.664133,,2022-11-30T22:33:00.000+01:00,2022-11-30T22:34:00.000+01:00
0,-23.515696,,-30.63821,,2022-11-11T11:27:00.000+01:00,2022-11-11T11:28:00.000+01:00
0,-22.328196,,-29.305824,,2022-08-15T09:31:00.000+02:00,2022-08-15T09:32:00.000+02:00
0,-22.917685,,-29.595596,,2022-09-22T08:25:00.000+02:00,2022-09-22T08:26:00.000+02:00
0,-22.24581,,-29.363707,,2022-08-02T23:27:00.000+02:00,2022-08-02T23:28:00.000+02:00
0,-22.57571,,-29.800142,,2022-06-12T11:40:00.000+02:00,2022-06-12T11:41:00.000+02:00
0,-22.99581,,-29.992613,,2022-11-14T03:22:00.000+01:00,2022-11-14T03:23:00.000+01:00
0,-22.17017,,-29.313637,,2022-12-11T19:11:00.000+01:00,2022-12-11T19:12:00.000+01:00
0,-22.393183,,-29.259659,,2022-05-29T00:37:00.000+02:00,2022-05-29T00:38:00.000+02:00
0,-22.952486,,-29.968111,,2022-10-02T21:15:00.000+02:00,2022-10-02T21:16:00.000+02:00
0,-20.794815,,-29.111576,,2022-12-15T15:53:00.000+01:00,2022-12-15T15:54:00.000+01:00
0,-22.168396,,-29.193253,,2022-09-03T02:09:00.000+02:00,2022-09-03T02:10:00.000+02:00
0,-22.58956,,-29.822159,,2022-10-30T15:51:00.000+01:00,2022-10-30T15:52:00.000+01:00
0,-22.739063,,-29.398508,,2022-11-03T01:54:00.000+01:00,2022-11-03T01:55:00.000+01:00
0,-22.51321,,-29.462074,,2022-06-28T23:10:00.000+02:00,2022-06-28T23:11:00.000+02:00
0,-23.219532,,-30.088493,,2022-08-25T03:06:00.000+02:00,2022-08-25T03:07:00.000+02:00
0,-22.45355,,-29.03132,,2022-06-30T11:06:00.000+02:00,2022-06-30T11:07:00.000+02:00
0,-23.18544,,-30.217754,,2022-07-08T02:04:00.000+02:00,2022-07-08T02:05:00.000+02:00
0,-23.185085,,-30.052982,,2022-12-08T08:34:00.000+01:00,2022-12-08T08:35:00.000+01:00
0,-22.538424,,-29.617258,,2022-06-23T13:29:00.000+02:00,2022-06-23T13:30:00.000+02:00
0,-22.237997,,-29.309376,,2022-08-08T00:31:00.000+02:00,2022-08-08T00:32:00.000+02:00
0,,,,,2022-06-07T23:42:00.000+02:00,2022-06-07T23:43:00.000+02:00
0,-22.228764,,-29.225567,,2022-06-13T03:50:00.000+02:00,2022-06-13T03:51:00.000+02:00
0,-23.069319,,-29.905611,,2022-10-12T05:00:00.000+02:00,2022-10-12T05:01:00.000+02:00
0,-24.445383,,-31.141052,,2022-12-06T09:44:00.000+01:00,2022-12-06T09:45:00.000+01:00
