pluie,mean_std,stddev_std,mean_rad,stddev_rad,window_start,window_end
0,-22.99794,,-30.054049,,2022-10-02T18:15:00.000+02:00,2022-10-02T18:16:00.000+02:00
0,-22.18118,,-29.27635,,2022-07-31T04:32:00.000+02:00,2022-07-31T04:33:00.000+02:00
0,-22.085653,,-29.189701,,2022-07-26T07:14:00.000+02:00,2022-07-26T07:15:00.000+02:00
0,-22.61868,,-29.485512,,2022-12-11T09:21:00.000+01:00,2022-12-11T09:22:00.000+01:00
0,-22.689346,,-29.546236,,2022-06-09T11:10:00.000+02:00,2022-06-09T11:11:00.000+02:00
0,-22.969887,,-29.571095,,2022-09-19T16:02:00.000+02:00,2022-09-19T16:03:00.000+02:00
0,-22.684376,,-29.680113,,2022-09-22T18:06:00.000+02:00,2022-09-22T18:07:00.000+02:00
0,-22.190413,,-29.40135,,2022-08-16T20:04:00.000+02:00,2022-08-16T20:05:00.000+02:00
0,-22.295525,,-29.237997,,2022-05-29T02:56:00.000+02:00,2022-05-29T02:57:00.000+02:00
0,-22.329262,,-29.408808,,2022-08-01T13:48:00.000+02:00,2022-08-01T13:49:00.000+02:00
0,-22.199291,,-29.416975,,2022-08-11T16:48:00.000+02:00,2022-08-11T16:49:00.000+02:00
0,-23.20071,,-30.21598,,2022-07-08T01:46:00.000+02:00,2022-07-08T01:47:00.000+02:00
0,-23.428692,,-30.109446,,2022-06-17T23:28:00.000+02:00,2022-06-17T23:29:00.000+02:00
0,-22.92159,,-29.817543,,2022-10-01T20:55:00.000+02:00,2022-10-01T20:56:00.000+02:00
0,-22.299078,,-29.098793,,2022-12-12T06:08:00.000+01:00,2022-12-12T06:09:00.000+01:00
1,-22.772799,,-29.34382,,2022-11-10T17:39:00.000+01:00,2022-11-10T17:40:00.000+01:00
0,-20.548721,,-28.985867,,2022-12-19T22:40:00.000+01:00,2022-12-19T22:41:00.000+01:00
0,-22.476635,,-29.382885,,2022-06-27T22:49:00.000+02:00,2022-06-27T22:50:00.000+02:00
