pluie,mean_std,stddev_std,mean_rad,stddev_rad,window_start,window_end
0,-22.254688,,-29.141762,,2022-09-13T03:33:00.000+02:00,2022-09-13T03:34:00.000+02:00
0,-23.810085,,-30.885725,,2022-10-17T14:03:00.000+02:00,2022-10-17T14:04:00.000+02:00
0,-23.279902,,-30.021732,,2022-06-18T03:53:00.000+02:00,2022-06-18T03:54:00.000+02:00
0,-20.550142,,-29.016762,,2022-12-13T23:45:00.000+01:00,2022-12-13T23:46:00.000+01:00
0,-22.678694,,-29.659163,,2022-09-18T17:24:00.000+02:00,2022-09-18T17:25:00.000+02:00
0,-22.111576,,-29.32571,,2022-07-22T20:08:00.000+02:00,2022-07-22T20:09:00.000+02:00
0,-23.02848,,-30.107315,,2022-10-13T18:53:00.000+02:00,2022-10-13T18:54:00.000+02:00
0,-22.77777,,-29.832813,,2022-06-18T17:04:00.000+02:00,2022-06-18T17:05:00.000+02:00
0,-22.384304,,-29.617615,,2022-07-29T12:05:00.000+02:00,2022-07-29T12:06:00.000+02:00
1,-23.300852,,-28.315767,,2022-09-16T11:49:00.000+02:00,2022-09-16T11:50:00.000+02:00
0,-22.775639,,-29.457813,,2022-11-03T04:25:00.000+01:00,2022-11-03T04:26:00.000+01:00
0,-22.507883,,-29.507528,,2022-08-30T11:13:00.000+02:00,2022-08-30T11:14:00.000+02:00
1,-22.448225,,-29.62081,,2022-07-04T15:43:00.000+02:00,2022-07-04T15:44:00.000+02:00
1,-22.644602,,-28.68331,,2022-08-27T17:56:00.000+02:00,2022-08-27T17:57:00.000+02:00
0,-22.323935,,-29.210299,,2022-07-27T18:13:00.000+02:00,2022-07-27T18:14:00.000+02:00
0,-20.555115,,-29.150284,,2022-12-29T03:34:00.000+01:00,2022-12-29T03:35:00.000+01:00
0,-22.226633,,-29.319674,,2022-08-01T23:12:00.000+02:00,2022-08-01T23:13:00.000+02:00
0,-22.55547,,-28.801918,,2022-06-20T22:05:00.000+02:00,2022-06-20T22:06:00.000+02:00
0,-23.090271,,-30.032387,,2022-10-13T22:11:00.000+02:00,2022-10-13T22:12:00.000+02:00
0,-22.71598,,-30.225924,,2022-11-13T01:07:00.000+01:00,2022-11-13T01:08:00.000+01:00
0,-23.241549,,-30.126492,,2022-10-07T22:50:00.000+02:00,2022-10-07T22:51:00.000+02:00
0,-22.809376,,-29.872585,,2022-11-02T09:12:00.000+01:00,2022-11-02T09:13:00.000+01:00
0,-24.2625,,-31.15348,,2022-12-04T11:35:00.000+01:00,2022-12-04T11:36:00.000+01:00
0,-22.182955,,-29.40632,,2022-09-03T20:09:00.000+02:00,2022-09-03T20:10:00.000+02:00
1,-23.669815,,-27.472729,,2022-06-21T22:08:00.000+02:00,2022-06-21T22:09:00.000+02:00
0,-23.840271,,-30.891762,,2022-10-17T14:05:00.000+02:00,2022-10-17T14:06:00.000+02:00
0,,,,,2022-06-06T21:31:00.000+02:00,2022-06-06T21:32:00.000+02:00
1,-22.279902,,-29.207102,,2022-07-26T20:34:00.000+02:00,2022-07-26T20:35:00.000+02:00
0,-20.519958,,-29.045525,,2022-12-27T23:02:00.000+01:00,2022-12-27T23:03:00.000+01:00
0,-20.581392,,-29.0402,,2022-12-25T06:47:00.000+01:00,2022-12-25T06:48:00.000+01:00
0,-22.543396,,-29.692543,,2022-05-30T08:54:00.000+02:00,2022-05-30T08:55:00.000+02:00
0,-22.1652,,-29.30973,,2022-07-29T07:17:00.000+02:00,2022-07-29T07:18:00.000+02:00
0,-22.381819,,-29.408096,,2022-06-13T21:38:00.000+02:00,2022-06-13T21:39:00.000+02:00
0,-22.416618,,-29.463139,,2022-07-31T19:19:00.000+02:00,2022-07-31T19:20:00.000+02:00
0,-22.409872,,-29.486221,,2022-06-01T09:49:00.000+02:00,2022-06-01T09:50:00.000+02:00
0,-22.820383,,-30.202131,,2022-11-19T20:48:00.000+01:00,2022-11-19T20:49:00.000+01:00
0,-23.326065,,-30.333878,,2022-10-19T02:32:00.000+02:00,2022-10-19T02:33:00.000+02:00
0,-22.196804,,-29.175142,,2022-08-14T01:21:00.000+02:00,2022-08-14T01:22:00.000+02:00
