pluie,mean_std,stddev_std,mean_rad,stddev_rad,window_start,window_end
0,-22.874716,,-28.201065,,2022-06-21T08:42:00.000+02:00,2022-06-21T08:43:00.000+02:00
0,-20.484802,,-28.93331,,2022-12-20T20:47:00.000+01:00,2022-12-20T20:48:00.000+01:00
0,-22.462784,,-29.538778,,2022-06-01T09:41:00.000+02:00,2022-06-01T09:42:00.000+02:00
0,-22.569674,,-29.6201,,2022-06-02T15:21:00.000+02:00,2022-06-02T15:22:00.000+02:00
0,-22.597017,,-29.647442,,2022-09-22T18:59:00.000+02:00,2022-09-22T19:00:00.000+02:00
0,-22.642471,,-30.115482,,2022-11-07T01:02:00.000+01:00,2022-11-07T01:03:00.000+01:00
0,-20.450356,,-28.940058,,2022-12-27T19:30:00.000+01:00,2022-12-27T19:31:00.000+01:00
0,-22.13892,,-29.115128,,2022-09-04T02:51:00.000+02:00,2022-09-04T02:52:00.000+02:00
0,-23.21669,,-30.1826,,2022-10-23T01:24:00.000+02:00,2022-10-23T01:25:00.000+02:00
0,-22.24865,,-28.941477,,2022-09-02T03:46:00.000+02:00,2022-09-02T03:47:00.000+02:00
0,-22.979473,,-29.346663,,2022-11-25T06:25:00.000+01:00,2022-11-25T06:26:00.000+01:00
0,-22.595596,,-29.505753,,2022-09-25T03:52:00.000+02:00,2022-09-25T03:53:00.000+02:00
0,-23.271023,,-30.02422,,2022-10-21T06:20:00.000+02:00,2022-10-21T06:21:00.000+02:00
0,-22.494743,,-29.431889,,2022-09-17T21:59:00.000+02:00,2022-09-17T22:00:00.000+02:00
0,-22.498295,,-29.469175,,2022-07-16T23:29:00.000+02:00,2022-07-16T23:30:00.000+02:00
0,-22.481606,,-29.419106,,2022-09-13T15:18:00.000+02:00,2022-09-13T15:19:00.000+02:00
0,-20.979118,,-29.17017,,2022-12-20T09:33:00.000+01:00,2022-12-20T09:34:00.000+01:00
0,-22.739773,,-30.130043,,2022-11-08T06:36:00.000+01:00,2022-11-08T06:37:00.000+01:00
0,-22.15419,,-29.352345,,2022-08-17T20:51:00.000+02:00,2022-08-17T20:52:00.000+02:00
0,-22.103409,,-29.242615,,2022-08-07T02:20:00.000+02:00,2022-08-07T02:21:00.000+02:00
0,-22.811861,,-29.83068,,2022-12-09T12:33:00.000+01:00,2022-12-09T12:34:00.000+01:00
0,-23.674433,,-30.46882,,2022-10-15T08:03:00.000+02:00,2022-10-15T08:04:00.000+02:00
