_c0,signal_std,signal_rad,pluie,baseline_std,baseline_rad,pluvio_db_std,pluvio_db_rad
2023-02-17 01:25:00,-17.01,-26.01,0.0,-17.01,-26.01,0.0,0.0
2023-02-17 01:26:00,-16.97,-26.0,0.0,-16.97,-26.0,0.0,0.0
2023-02-17 01:27:00,-16.98,-26.0,0.0,-16.98,-26.0,0.0,0.0
2023-02-17 01:28:00,-17.03,-26.01,0.0,-17.03,-26.01,0.0,0.0
2023-02-17 01:29:00,-16.88,-25.99,0.0,-16.88,-25.99,0.0,0.0
2023-02-17 01:30:00,-17.02,-26.02,0.0,-17.02,-26.02,0.0,0.0
2023-02-17 01:31:00,-16.96,-26.01,0.0,-16.96,-26.01,0.0,0.0
2023-02-17 01:32:00,-16.98,-26.02,0.0,-16.98,-26.02,0.0,0.0
