_c0,signal_std,signal_rad,pluie,baseline_std,baseline_rad,pluvio_db_std,pluvio_db_rad
2023-02-03 11:51:00,-17.61,-26.58,0.0,-17.61,-26.58,0.0,0.0
2023-02-03 11:52:00,-17.58,-26.57,0.0,-17.58,-26.57,0.0,0.0
2023-02-03 11:53:00,-17.49,-26.55,0.0,-17.49,-26.55,0.0,0.0
2023-02-03 11:54:00,-17.51,-26.58,0.0,-17.51,-26.58,0.0,0.0
2023-02-03 11:55:00,-17.56,-26.6,0.0,-17.56,-26.6,0.0,0.0
2023-02-03 11:56:00,-17.36,-26.56,0.0,-17.36,-26.56,0.0,0.0
2023-02-03 11:57:00,-17.42,-26.57,0.0,-17.42,-26.57,0.0,0.0
2023-02-03 11:58:00,-17.49,-26.57,0.0,-17.49,-26.57,0.0,0.0
2023-02-03 11:59:00,-17.5,-26.6,0.0,-17.5,-26.6,0.0,0.0
