_c0,signal_std,signal_rad,pluie,baseline_std,baseline_rad,pluvio_db_std,pluvio_db_rad
2023-02-03 07:16:00,-17.19,-25.98,0.0,-17.19,-25.98,0.0,0.0
2023-02-03 07:17:00,-16.94,-25.94,0.0,-16.94,-25.94,0.0,0.0
2023-02-03 07:18:00,-17.21,-25.91,0.0,-17.21,-25.91,0.0,0.0
2023-02-03 07:19:00,-17.22,-25.91,0.0,-17.22,-25.91,0.0,0.0
2023-02-03 07:20:00,-17.25,-25.89,0.0,-17.25,-25.89,0.0,0.0
2023-02-03 07:21:00,-17.24,-25.88,0.0,-17.24,-25.88,0.0,0.0
2023-02-03 07:22:00,-17.15,-25.96,0.0,-17.15,-25.96,0.0,0.0
2023-02-03 07:23:00,-17.17,-25.95,0.0,-17.17,-25.95,0.0,0.0
2023-02-03 07:24:00,-17.25,-25.91,0.0,-17.25,-25.91,0.0,0.0
