_c0,signal_std,signal_rad,pluie,baseline_std,baseline_rad,pluvio_db_std,pluvio_db_rad
2023-02-18 10:53:00,-17.55,-26.48,0.0,-17.55,-26.48,0.0,0.0
2023-02-18 10:54:00,-17.5,-26.48,0.0,-17.5,-26.48,0.0,0.0
2023-02-18 10:55:00,-17.48,-26.47,0.0,-17.48,-26.47,0.0,0.0
2023-02-18 10:56:00,-17.6,-26.5,0.0,-17.6,-26.5,0.0,0.0
2023-02-18 10:57:00,-17.62,-26.47,0.0,-17.62,-26.47,0.0,0.0
2023-02-18 10:58:00,-17.54,-26.51,0.0,-17.54,-26.51,0.0,0.0
2023-02-18 10:59:00,-17.45,-26.44,0.0,-17.45,-26.44,0.0,0.0
2023-02-18 11:00:00,-17.57,-26.52,0.0,-17.57,-26.52,0.0,0.0
