_c0,signal_std,signal_rad,pluie,baseline_std,baseline_rad,pluvio_db_std,pluvio_db_rad
2023-02-18 11:10:00,-17.34,-26.55,0.0,-17.34,-26.55,0.0,0.0
2023-02-18 11:11:00,-17.62,-26.36,0.0,-17.62,-26.36,0.0,0.0
2023-02-18 11:12:00,-17.6,-26.43,0.0,-17.6,-26.43,0.0,0.0
2023-02-18 11:13:00,-17.64,-26.51,0.0,-17.64,-26.51,0.0,0.0
2023-02-18 11:14:00,-17.66,-26.53,0.0,-17.66,-26.53,0.0,0.0
2023-02-18 11:15:00,-17.56,-26.52,0.0,-17.56,-26.52,0.0,0.0
2023-02-18 11:16:00,-17.19,-26.5,0.0,-17.19,-26.5,0.0,0.0
2023-02-18 11:17:00,-17.57,-26.49,0.0,-17.57,-26.49,0.0,0.0
