_c0,signal_std,signal_rad,pluie,baseline_std,baseline_rad,pluvio_db_std,pluvio_db_rad
2023-02-04 23:41:00,-17.13,-26.09,0.0,-17.13,-26.09,0.0,0.0
2023-02-04 23:42:00,-16.99,-26.09,0.0,-16.99,-26.09,0.0,0.0
2023-02-04 23:43:00,-17.09,-26.09,0.0,-17.09,-26.09,0.0,0.0
2023-02-04 23:44:00,-17.03,-26.07,0.0,-17.03,-26.07,0.0,0.0
2023-02-04 23:45:00,-16.99,-26.07,0.0,-16.99,-26.07,0.0,0.0
2023-02-04 23:46:00,-16.96,-26.08,0.0,-16.96,-26.08,0.0,0.0
2023-02-04 23:47:00,-17.02,-26.08,0.0,-17.02,-26.08,0.0,0.0
2023-02-04 23:48:00,-17.05,-26.09,0.0,-17.05,-26.09,0.0,0.0
2023-02-04 23:49:00,-17.04,-26.1,0.0,-17.04,-26.1,0.0,0.0
