_c0,signal_std,signal_rad,pluie,baseline_std,baseline_rad,pluvio_db_std,pluvio_db_rad
2023-02-04 23:50:00,-17.02,-26.08,0.0,-17.02,-26.08,0.0,0.0
2023-02-04 23:51:00,-16.97,-26.07,0.0,-16.97,-26.07,0.0,0.0
2023-02-04 23:52:00,-17.03,-26.06,0.0,-17.03,-26.06,0.0,0.0
2023-02-04 23:53:00,-16.99,-26.08,0.0,-16.99,-26.08,0.0,0.0
2023-02-04 23:54:00,-17.03,-26.08,0.0,-17.03,-26.08,0.0,0.0
2023-02-04 23:55:00,-17.0,-26.08,0.0,-17.0,-26.08,0.0,0.0
2023-02-04 23:56:00,-17.04,-26.07,0.0,-17.04,-26.07,0.0,0.0
2023-02-04 23:57:00,-17.1,-26.07,0.0,-17.1,-26.07,0.0,0.0
