_c0,signal_std_final,signal_rad_final,pluie
2022-06-14T20:52:00.000+02:00,-22.476278,-29.489063,0
2022-06-14T20:53:00.000+02:00,-22.478054,-29.485157,0
2022-06-14T20:54:00.000+02:00,-22.474148,-29.491903,0
2022-06-14T20:55:00.000+02:00,-22.457458,-29.492615,0
2022-06-14T20:56:00.000+02:00,-22.45355,-29.489418,0
2022-06-14T20:57:00.000+02:00,-22.453196,-29.492258,0
2022-06-14T20:58:00.000+02:00,-22.45142,-29.49297,0
2022-06-14T20:59:00.000+02:00,-22.450356,-29.487642,0
2022-06-14T21:00:00.000+02:00,-22.443253,-29.492613,0
2022-06-14T21:01:00.000+02:00,-22.442898,-29.490484,0
2022-06-14T21:02:00.000+02:00,-22.43615,-29.488708,0
2022-06-14T21:03:00.000+02:00,-22.443253,-29.491903,0
2022-06-14T21:04:00.000+02:00,-22.432245,-29.48267,0
2022-06-14T21:05:00.000+02:00,-22.430824,-29.484802,0
2022-06-14T21:06:00.000+02:00,-22.436506,-29.484447,0
2022-06-14T21:07:00.000+02:00,-22.442543,-29.484446,0
2022-06-14T21:08:00.000+02:00,-22.438637,-29.487642,0
2022-06-14T21:09:00.000+02:00,-22.443607,-29.485157,0
2022-06-14T21:10:00.000+02:00,-22.45071,-29.48693,0
2022-06-14T21:11:00.000+02:00,-22.460653,-29.483025,0
2022-06-14T21:12:00.000+02:00,-22.454617,-29.48196,0
2022-06-14T21:13:00.000+02:00,-22.453197,-29.486221,0
2022-06-14T21:14:00.000+02:00,-22.469532,-29.48409,0
2022-06-14T21:15:00.000+02:00,-22.467756,-29.483736,0
2022-06-14T21:16:00.000+02:00,-22.46669,-29.487642,0
2022-06-14T21:17:00.000+02:00,-22.47983,-29.484802,0
2022-06-14T21:18:00.000+02:00,-22.492258,-29.485512,0
2022-06-14T21:19:00.000+02:00,-22.504332,-29.479475,0
2022-06-14T21:20:00.000+02:00,-22.499716,-29.47983,0
2022-06-14T21:21:00.000+02:00,-22.499361,-29.480185,0
2022-06-14T21:22:00.000+02:00,-22.507528,-29.477345,0
2022-06-14T21:23:00.000+02:00,-22.507528,-29.48267,0
2022-06-14T21:24:00.000+02:00,-22.510368,-29.477345,0
2022-06-14T21:25:00.000+02:00,-22.51179,-29.482315,0
2022-06-14T21:26:00.000+02:00,-22.510368,-29.484446,0
2022-06-14T21:27:00.000+02:00,-22.522799,-29.48409,0
2022-06-14T21:28:00.000+02:00,-22.517117,-29.47983,0
2022-06-14T21:29:00.000+02:00,-22.51108,-29.483736,0
2022-06-14T21:30:00.000+02:00,-22.513565,-29.48409,0
2022-06-14T21:31:00.000+02:00,-22.520313,-29.484802,0
2022-06-14T21:32:00.000+02:00,-22.514986,-29.480896,0
2022-06-14T21:33:00.000+02:00,-22.514275,-29.480185,0
2022-06-14T21:34:00.000+02:00,-22.52919,-29.480894,0
2022-06-14T21:35:00.000+02:00,-22.513922,-29.48054,0
2022-06-14T21:36:00.000+02:00,-22.505753,-29.47699,0
2022-06-14T21:37:00.000+02:00,-22.51534,-29.476633,0
2022-06-14T21:38:00.000+02:00,-22.500782,-29.473083,0
2022-06-14T21:39:00.000+02:00,-22.501492,-29.479473,0
2022-06-14T21:40:00.000+02:00,-22.484802,-29.48125,0
2022-06-14T21:41:00.000+02:00,-22.490128,-29.474503,0
2022-06-14T21:42:00.000+02:00,-22.476278,-29.471306,0
2022-06-14T21:43:00.000+02:00,-22.48196,-29.475924,0
2022-06-14T21:44:00.000+02:00,-22.484802,-29.476633,0
2022-06-14T21:45:00.000+02:00,-22.479475,-29.469887,0
2022-06-14T21:46:00.000+02:00,-22.476633,-29.469887,0
2022-06-14T21:47:00.000+02:00,-22.484447,-29.47912,0
2022-06-14T21:48:00.000+02:00,-22.478054,-29.478409,0
2022-06-14T21:49:00.000+02:00,-22.474503,-29.477345,0
2022-06-14T21:50:00.000+02:00,-22.474148,-29.471306,0
2022-06-14T21:51:00.000+02:00,-22.470596,-29.476633,0
