_c0,signal_std,signal_rad,pluie,baseline_std,baseline_rad,pluvio_db_std,pluvio_db_rad
2023-02-06 23:20:00,-17.03,-26.09,0.0,-17.03,-26.09,0.0,0.0
2023-02-06 23:21:00,-17.02,-26.07,0.0,-17.02,-26.07,0.0,0.0
2023-02-06 23:22:00,-17.0,-26.08,0.0,-17.0,-26.08,0.0,0.0
2023-02-06 23:23:00,-17.05,-26.08,0.0,-17.05,-26.08,0.0,0.0
2023-02-06 23:24:00,-16.97,-26.08,0.0,-16.97,-26.08,0.0,0.0
2023-02-06 23:25:00,-17.0,-26.07,0.0,-17.0,-26.07,0.0,0.0
2023-02-06 23:26:00,-17.02,-26.08,0.0,-17.02,-26.08,0.0,0.0
2023-02-06 23:27:00,-17.03,-26.07,0.0,-17.03,-26.07,0.0,0.0
