_c0,signal_std,signal_rad,pluie,baseline_std,baseline_rad,pluvio_db_std,pluvio_db_rad
2023-02-19 22:43:00,-17.13,-26.12,0.0,-17.13,-26.12,0.0,0.0
2023-02-19 22:44:00,-17.15,-26.13,0.0,-17.15,-26.13,0.0,0.0
2023-02-19 22:45:00,-17.14,-26.15,0.0,-17.14,-26.15,0.0,0.0
2023-02-19 22:46:00,-17.11,-26.11,0.0,-17.11,-26.11,0.0,0.0
2023-02-19 22:47:00,-17.17,-26.12,0.0,-17.17,-26.12,0.0,0.0
2023-02-19 22:48:00,-17.12,-26.12,0.0,-17.12,-26.12,0.0,0.0
2023-02-19 22:49:00,-17.2,-26.13,0.0,-17.2,-26.13,0.0,0.0
2023-02-19 22:50:00,-17.07,-26.12,0.0,-17.07,-26.12,0.0,0.0
