_c0,signal_std,signal_rad,pluie,baseline_std,baseline_rad,pluvio_db_std,pluvio_db_rad
2023-02-27 21:08:00,-17.15,-26.05,0.0,-17.15,-26.05,0.0,0.0
2023-02-27 21:09:00,-17.2,-26.06,0.0,-17.2,-26.06,0.0,0.0
2023-02-27 21:10:00,-17.21,-26.07,0.0,-17.21,-26.07,0.0,0.0
2023-02-27 21:11:00,-17.15,-26.03,0.0,-17.15,-26.03,0.0,0.0
2023-02-27 21:12:00,-17.27,-26.05,0.0,-17.27,-26.05,0.0,0.0
2023-02-27 21:13:00,-17.25,-26.07,0.0,-17.25,-26.07,0.0,0.0
2023-02-27 21:14:00,-17.15,-26.07,0.0,-17.15,-26.07,0.0,0.0
2023-02-27 21:15:00,-17.19,-26.06,0.0,-17.19,-26.06,0.0,0.0
