_c0,signal_std,signal_rad,pluie,baseline_std,baseline_rad,pluvio_db_std,pluvio_db_rad
2023-02-19 05:30:00,-17.2,-25.92,0.0,-17.2,-25.92,0.0,0.0
2023-02-19 05:31:00,-17.23,-25.91,0.0,-17.23,-25.91,0.0,0.0
2023-02-19 05:32:00,-17.19,-25.93,0.0,-17.19,-25.93,0.0,0.0
2023-02-19 05:33:00,-17.22,-25.92,0.0,-17.22,-25.92,0.0,0.0
2023-02-19 05:34:00,-17.15,-25.94,0.0,-17.15,-25.94,0.0,0.0
2023-02-19 05:35:00,-17.21,-25.91,0.0,-17.21,-25.91,0.0,0.0
2023-02-19 05:36:00,-17.2,-25.92,0.0,-17.2,-25.92,0.0,0.0
2023-02-19 05:37:00,-17.22,-25.91,0.0,-17.22,-25.91,0.0,0.0
