_c0,signal_std,signal_rad,pluie,baseline_std,baseline_rad,pluvio_db_std,pluvio_db_rad
2023-02-26 15:33:00,-17.27,-26.39,0.0,-17.27,-26.39,0.0,0.0
2023-02-26 15:34:00,-17.29,-26.41,0.0,-17.29,-26.41,0.0,0.0
2023-02-26 15:35:00,-17.33,-26.38,0.0,-17.33,-26.38,0.0,0.0
2023-02-26 15:36:00,-17.26,-26.4,0.0,-17.26,-26.4,0.0,0.0
2023-02-26 15:37:00,-17.37,-26.32,0.0,-17.37,-26.32,0.0,0.0
2023-02-26 15:38:00,-17.27,-26.37,0.0,-17.27,-26.37,0.0,0.0
2023-02-26 15:39:00,-17.32,-26.36,0.0,-17.32,-26.36,0.0,0.0
2023-02-26 15:40:00,-17.25,-26.4,0.0,-17.25,-26.4,0.0,0.0
