_c0,signal_std,signal_rad,pluie,baseline_std,baseline_rad,pluvio_db_std,pluvio_db_rad
2023-02-19 13:00:00,-17.58,-26.62,0.0,-17.58,-26.62,0.0,0.0
2023-02-19 13:01:00,-17.28,-26.64,0.0,-17.28,-26.64,0.0,0.0
2023-02-19 13:02:00,-17.27,-26.56,0.0,-17.27,-26.56,0.0,0.0
2023-02-19 13:03:00,-17.74,-26.61,0.0,-17.74,-26.61,0.0,0.0
2023-02-19 13:04:00,-17.65,-26.54,0.0,-17.65,-26.54,0.0,0.0
2023-02-19 13:05:00,-17.58,-26.57,0.0,-17.58,-26.57,0.0,0.0
2023-02-19 13:06:00,-17.44,-26.6,0.0,-17.44,-26.6,0.0,0.0
2023-02-19 13:07:00,-17.38,-26.57,0.0,-17.38,-26.57,0.0,0.0
