_c0,signal_std,signal_rad,pluie,baseline_std,baseline_rad,pluvio_db_std,pluvio_db_rad
2023-02-13 22:50:00,-17.06,-26.05,0.0,-17.06,-26.05,0.0,0.0
2023-02-13 22:51:00,-17.06,-26.05,0.0,-17.06,-26.05,0.0,0.0
2023-02-13 22:52:00,-17.04,-26.05,0.0,-17.04,-26.05,0.0,0.0
2023-02-13 22:53:00,-17.11,-26.07,0.0,-17.11,-26.07,0.0,0.0
2023-02-13 22:54:00,-17.12,-26.02,0.0,-17.12,-26.02,0.0,0.0
2023-02-13 22:55:00,-17.08,-26.05,0.0,-17.08,-26.05,0.0,0.0
2023-02-13 22:56:00,-17.07,-26.07,0.0,-17.07,-26.07,0.0,0.0
2023-02-13 22:57:00,-17.05,-26.04,0.0,-17.05,-26.04,0.0,0.0
