_c0,signal_std,signal_rad,pluie,baseline_std,baseline_rad,pluvio_db_std,pluvio_db_rad
2023-02-20 23:18:00,-17.09,-26.15,0.0,-17.09,-26.15,0.0,0.0
2023-02-20 23:19:00,-17.17,-26.13,0.0,-17.17,-26.13,0.0,0.0
2023-02-20 23:20:00,-17.13,-26.13,0.0,-17.13,-26.13,0.0,0.0
2023-02-20 23:21:00,-17.09,-26.14,0.0,-17.09,-26.14,0.0,0.0
2023-02-20 23:22:00,-17.11,-26.12,0.0,-17.11,-26.12,0.0,0.0
2023-02-20 23:23:00,-17.16,-26.14,0.0,-17.16,-26.14,0.0,0.0
2023-02-20 23:24:00,-17.1,-26.14,0.0,-17.1,-26.14,0.0,0.0
2023-02-20 23:25:00,-17.18,-26.13,0.0,-17.18,-26.13,0.0,0.0
