_c0,signal_std,signal_rad,pluie,baseline_std,baseline_rad,pluvio_db_std,pluvio_db_rad
2023-02-27 08:30:00,-17.5,-26.23,0.0,-17.5,-26.23,0.0,0.0
2023-02-27 08:31:00,-17.45,-26.25,0.0,-17.45,-26.25,0.0,0.0
2023-02-27 08:32:00,-17.52,-26.25,0.0,-17.52,-26.25,0.0,0.0
2023-02-27 08:33:00,-17.5,-26.24,0.0,-17.5,-26.24,0.0,0.0
2023-02-27 08:34:00,-17.51,-26.25,0.0,-17.51,-26.25,0.0,0.0
2023-02-27 08:35:00,-17.43,-26.24,0.0,-17.43,-26.24,0.0,0.0
2023-02-27 08:36:00,-17.49,-26.25,0.0,-17.49,-26.25,0.0,0.0
2023-02-27 08:37:00,-17.42,-26.25,0.0,-17.42,-26.25,0.0,0.0
